emp_no,first_name,last_name,salary,title,from_date
10001,Georgi,Facello,60117,Senior Engineer,1986-06-26
10004,Chirstian,Koblick,40054,Engineer,1986-12-01
10004,Chirstian,Koblick,40054,Senior Engineer,1995-12-01
10009,Sumant,Peac,60929,Assistant Engineer,1985-02-18
10009,Sumant,Peac,60929,Engineer,1990-02-18
10009,Sumant,Peac,60929,Senior Engineer,1995-02-18
10018,Kazuhide,Peha,55881,Engineer,1987-04-03
10018,Kazuhide,Peha,55881,Senior Engineer,1995-04-03
10035,Alain,Chappelet,41538,Engineer,1988-09-05
10035,Alain,Chappelet,41538,Senior Engineer,1996-09-05
10053,Sanjiv,Zschoche,67854,Senior Staff,1994-11-13
10058,Berhard,McFarlin,52787,Senior Staff,1988-04-25
10066,Kwee,Schusler,69736,Assistant Engineer,1986-02-26
10066,Kwee,Schusler,69736,Engineer,1992-02-26
10066,Kwee,Schusler,69736,Senior Engineer,1998-02-25
10067,Claudi,Stavenow,44642,Engineer,1987-03-04
10067,Claudi,Stavenow,44642,Senior Engineer,1996-03-03
10070,Reuven,Garigliano,55999,Technique Leader,1985-10-14
10072,Hironoby,Sidou,40000,Engineer,1989-05-21
10072,Hironoby,Sidou,40000,Senior Engineer,1995-05-21
10076,Erez,Ritzmann,47319,Senior Engineer,1996-07-15
10088,Jungsoon,Syrzycki,65957,Senior Staff,1993-09-02
10088,Jungsoon,Syrzycki,65957,Staff,1988-09-02
10100,Hironobu,Haraldson,54398,Senior Staff,1994-09-21
10100,Hironobu,Haraldson,54398,Staff,1987-09-21
10103,Akemi,Birch,68158,Engineer,1998-01-12
10126,Kayoko,Valtorta,40000,Senior Staff,1991-09-08
10126,Kayoko,Valtorta,40000,Staff,1985-09-08
10129,Armond,Peir,40000,Technique Leader,1996-01-16
10130,Nishit,Casperson,40000,Senior Engineer,1988-06-21
10134,Diederik,Siprelle,40000,Engineer,1987-12-12
10134,Diederik,Siprelle,40000,Senior Engineer,1994-12-12
10138,Perry,Shimshoni,53574,Engineer,1992-03-03
10138,Perry,Shimshoni,53574,Senior Engineer,2001-03-03
10150,Zhenbing,Perng,70122,Engineer,1986-11-16
10150,Zhenbing,Perng,70122,Senior Engineer,1995-11-16
10153,Heekeun,Majewski,54246,Assistant Engineer,2000-01-08
10157,Nigel,Aloisi,48770,Senior Engineer,1997-12-10
10198,Pranav,Furedi,44076,Engineer,1985-08-31
10198,Pranav,Furedi,44076,Senior Engineer,1993-08-31
10215,Xiaobin,Duclos,43944,Senior Staff,1991-11-23
10224,Leon,Trogemann,40000,Engineer,1988-01-09
10224,Leon,Trogemann,40000,Senior Engineer,1996-01-09
10233,Lein,Vendrig,40000,Senior Staff,2000-04-28
10233,Lein,Vendrig,40000,Staff,1994-04-29
10258,Basil,Ishibashi,66280,Assistant Engineer,1985-05-17
10258,Basil,Ishibashi,66280,Engineer,1991-05-17
10258,Basil,Ishibashi,66280,Senior Engineer,1997-05-16
10272,Yishai,Cannane,58070,Staff,1997-10-23
10282,Hercules,Benzmuller,40000,Assistant Engineer,1996-05-02
10282,Hercules,Benzmuller,40000,Engineer,2001-05-02
10283,Kauko,Birjandi,40000,Engineer,1988-05-25
10283,Kauko,Birjandi,40000,Senior Engineer,1995-05-26
10326,Masali,Czap,40000,Staff,1998-09-02
10340,Djelloul,Laventhal,68132,Senior Staff,1993-03-30
10340,Djelloul,Laventhal,68132,Staff,1988-03-30
10347,Pradeep,Kaminger,42199,Staff,1998-02-20
10355,Satyanarayana,Cochrane,70434,Staff,1996-01-26
10356,Vasilis,Standera,45376,Senior Staff,1995-06-26
10364,Nakhoon,Dengi,51401,Senior Engineer,1985-11-14
10372,Anneli,Frijda,54505,Technique Leader,1985-07-30
10387,Parto,Wrigley,61374,Senior Staff,1999-01-07
10387,Parto,Wrigley,61374,Staff,1994-01-07
10396,Sibyl,Rahier,40393,Senior Engineer,1986-01-11
10402,Volkmar,Ebeling,40000,Technique Leader,1987-01-02
10404,Prodip,Rosti,51647,Engineer,1988-08-28
10404,Prodip,Rosti,51647,Senior Engineer,1996-08-28
10426,Arunas,Luce,65757,Technique Leader,1985-07-06
10429,Martien,Improta,40000,Senior Engineer,1988-09-23
