emp_no,first_name,last_name,salary,title,from_date
50814,Aamer,Daescu,49220,Senior Engineer,1988-09-16
61761,Aamer,Feinberg,45996,Senior Staff,1999-11-03
210129,Aamer,Frijda,40000,Senior Engineer,1995-11-06
466972,Aamer,Haldar,46892,Senior Engineer,1996-03-25
299725,Aamer,Holburn,40231,Senior Engineer,1996-12-08
205248,Aamer,Imataki,40000,Senior Engineer,1994-08-24
262801,Aamer,Krider,40000,Senior Engineer,2000-08-14
103641,Aamer,Loncour,56711,Engineer,1996-03-19
100534,Aamer,Luga,95161,Staff,1996-04-08
41743,Aamer,Lunt,48669,Senior Engineer,1988-05-22
39647,Aamer,Massonet,55875,Engineer,1996-11-26
220170,Aamer,McFarlan,51722,Senior Engineer,1996-09-30
101778,Aamer,Peha,40000,Senior Engineer,2000-09-12
88788,Aamer,Picel,40000,Senior Staff,1988-10-10
223399,Aamer,Radivojevic,45792,Engineer,1999-11-07
491629,Aamer,Schapiro,81500,Senior Engineer,1999-08-23
74202,Aamer,Schneeberger,48172,Senior Engineer,1993-10-14
61415,Aamer,Schwartzbauer,83124,Staff,1997-04-30
255361,Aamer,Spell,40000,Assistant Engineer,1995-08-21
272876,Aamer,Standera,40000,Senior Staff,1991-12-30
282485,Aamer,Strandh,40000,Senior Engineer,1991-03-14
23269,Aamer,Szmurlo,49962,Senior Engineer,1988-05-25
235609,Aamer,Talmor,53897,Senior Staff,1992-03-11
70791,Aamod,Avouris,51105,Senior Engineer,1994-09-24
44610,Aamod,Cronan,56065,Senior Engineer,1997-02-10
479463,Aamod,Isard,49481,Technique Leader,1992-03-25
276240,Aamod,Kitsuregawa,40000,Senior Engineer,1996-08-15
260969,Aamod,Leuchs,40000,Senior Staff,1995-08-05
247408,Aamod,Perez,54944,Senior Engineer,1993-11-05
75166,Aamod,Snyers,71375,Engineer,1996-11-14
494473,Aamod,Suri,59639,Senior Engineer,2000-07-05
76816,Aamod,Terlouw,42142,Engineer,1996-03-18
292331,Aamod,Vesna,55580,Engineer,1998-03-05
270783,Aamod,Vilarrasa,62493,Staff,1998-02-24
452891,Abdelaziz,Bennet,48035,Senior Staff,1996-03-18
41147,Abdelaziz,Chimia,40000,Senior Engineer,1992-08-14
449838,Abdelaziz,Cmelik,50795,Senior Engineer,1998-12-20
51639,Abdelaziz,Czap,97345,Senior Staff,1996-11-10
32180,Abdelaziz,Hofman,58455,Senior Staff,1994-04-24
452574,Abdelaziz,Kampfer,46011,Senior Engineer,1994-06-19
287446,Abdelaziz,Krichel,40000,Engineer,1999-06-25
70311,Abdelaziz,Kugler,40000,Senior Staff,1996-02-16
419504,Abdelaziz,Masamoto,49754,Senior Engineer,1998-06-26
25308,Abdelaziz,Mayerwieser,40000,Senior Engineer,1993-09-02
467620,Abdelaziz,Melichar,40000,Senior Staff,2001-12-20
270564,Abdelaziz,Pearson,40000,Senior Staff,1988-02-06
480096,Abdelaziz,Percebois,58001,Senior Engineer,1996-08-29
469365,Abdelaziz,Schiper,54997,Senior Staff,1993-01-27
98079,Abdelaziz,Stiles,40000,Senior Staff,1992-10-05
451600,Abdelaziz,Thisen,41508,Senior Engineer,1987-01-11
104092,Abdelaziz,Vitiello,48196,Assistant Engineer,1998-12-27
25225,Abdelaziz,Vrecion,63803,Engineer,1996-02-21
490204,Abdelaziz,Waymire,62220,Senior Staff,1990-07-24
205568,Abdelghani,Aingworth,72325,Senior Staff,1992-09-22
38267,Abdelghani,Armand,53738,Senior Engineer,2002-03-25
99804,Abdelghani,Benner,58433,Senior Engineer,2002-01-13
231243,Abdelghani,Birta,40000,Senior Staff,1988-11-14
109915,Abdelghani,Cannane,40025,Senior Staff,1992-11-19
286902,Abdelghani,Cannata,40000,Engineer,1997-04-30
434084,Abdelghani,Cappello,90879,Senior Staff,1995-06-12
240160,Abdelghani,Clouatre,43851,Senior Engineer,1985-03-15
453955,Abdelghani,Covnot,45463,Senior Engineer,1994-07-26
94574,Abdelghani,Dulli,41871,Senior Staff,1991-09-09
28770,Abdelghani,Farris,49773,Senior Engineer,1993-05-28
274996,Abdelghani,Fioravanti,40000,Senior Engineer,1998-02-14
422588,Abdelghani,Gimarc,40000,Senior Engineer,1988-10-25
105441,Abdelghani,Haldar,77975,Senior Staff,1985-04-03
416899,Abdelghani,Heijenga,42236,Engineer,1997-05-26
229415,Abdelghani,Ibel,48782,Senior Engineer,1992-03-02
17468,Abdelghani,Irland,59122,Senior Staff,1996-06-13
454863,Abdelghani,Krichel,44471,Senior Engineer,1988-12-07
244946,Abdelghani,Lubachevsky,40000,Senior Engineer,1985-10-04
54783,Abdelghani,Nannarelli,53971,Senior Engineer,1991-01-08
108053,Abdelghani,Nilsson,76316,Senior Staff,2002-05-11
419543,Abdelghani,Nitsch,63547,Senior Staff,1995-03-27
290946,Abdelghani,Reutenauer,72590,Senior Staff,1998-11-30
202446,Abdelghani,Rouquie,62097,Engineer,1998-01-09
258003,Abdelghani,Rubsam,67536,Staff,1996-09-26
488068,Abdelghani,Sabnani,93207,Senior Staff,1996-04-09
283209,Abdelghani,Seiwald,74913,Senior Staff,1993-06-20
429211,Abdelghani,Tchuente,40000,Senior Engineer,1992-11-20
79972,Abdelghani,Thummel,40000,Senior Staff,1996-06-03
286921,Abdelghani,Turnbull,43422,Senior Engineer,1993-01-19
496882,Abdelghani,Vural,56434,Staff,1996-06-16
264390,Abdelghani,Waeselynck,91248,Senior Staff,1993-03-15
41674,Abdelghani,Yemenis,40000,Senior Engineer,1990-03-10
231876,Abdelkader,Akazan,40000,Senior Staff,2000-02-14
265903,Abdelkader,Angelov,49831,Senior Staff,1995-05-28
31594,Abdelkader,Birta,40000,Senior Staff,1998-09-05
418553,Abdelkader,Caine,46156,Senior Engineer,1996-02-20
452576,Abdelkader,Chvatal,48631,Senior Staff,1990-09-17
211510,Abdelkader,Demir,40000,Senior Engineer,1994-08-10
453759,Abdelkader,Desikan,80329,Senior Engineer,1993-11-28
275126,Abdelkader,Dichev,56868,Senior Staff,1993-12-21
406343,Abdelkader,Ecklund,40000,Senior Engineer,2001-11-09
418991,Abdelkader,Emden,40000,Senior Engineer,1991-02-27
272281,Abdelkader,Fairtlough,40000,Senior Engineer,2001-02-24
212799,Abdelkader,Falby,40000,Senior Engineer,1995-06-14
50234,Abdelkader,Felder,40000,Senior Engineer,1993-12-14
417477,Abdelkader,Gadepally,40000,Staff,1999-10-18
68552,Abdelkader,Gronowski,40000,Senior Staff,1997-03-13
65045,Abdelkader,Koshiba,44054,Senior Engineer,1985-08-08
11295,Abdelkader,Lanzelotte,66622,Senior Staff,1990-05-15
436372,Abdelkader,Leslie,45073,Senior Staff,1994-10-19
69928,Abdelkader,Nourani,40000,Senior Staff,2000-04-09
44616,Abdelkader,Pettis,40000,Senior Staff,1988-08-31
292618,Abdelkader,Salverda,58484,Senior Engineer,1988-01-10
77689,Abdelkader,Swan,65233,Senior Staff,1992-11-15
93433,Abdelkader,Tchuente,88427,Senior Staff,1991-04-16
492868,Abdelkader,Trumbly,44250,Staff,1997-03-24
236192,Abdelkader,Whitcomb,49430,Senior Engineer,1993-11-13
235197,Abdelwaheb,Baig,46322,Senior Staff,1987-05-22
20450,Abdelwaheb,Binkley,41934,Senior Engineer,1995-11-09
434700,Abdelwaheb,Botman,40000,Senior Engineer,1996-01-15
447816,Abdelwaheb,Buescher,58957,Engineer,1995-12-08
200108,Abdelwaheb,Chvatal,40000,Senior Engineer,2001-12-16
479432,Abdelwaheb,England,65360,Senior Engineer,1995-06-25
28366,Abdelwaheb,Falster,62653,Senior Engineer,1985-08-19
235326,Abdelwaheb,Gustavson,66235,Senior Engineer,1995-01-08
275710,Abdelwaheb,Hofmeyr,51041,Senior Staff,2001-07-20
12222,Abdelwaheb,Holburn,55840,Senior Staff,1996-08-14
442515,Abdelwaheb,Langford,40000,Senior Engineer,1995-04-05
451020,Abdelwaheb,Masada,59794,Senior Staff,1997-11-25
450319,Abdelwaheb,Panienski,54555,Senior Engineer,1994-12-03
288698,Abdelwaheb,Penz,40000,Technique Leader,1988-01-21
425011,Abdelwaheb,Prochazka,40000,Senior Engineer,1999-05-21
232067,Abdelwaheb,Rosay,55385,Engineer,1994-03-10
409123,Abdelwaheb,Schaft,56643,Senior Engineer,1994-09-01
76878,Abdelwaheb,Turnbull,64870,Staff,1995-07-30
424591,Abdelwaheb,Yeung,79558,Senior Staff,1994-07-17
202438,Abdulah,Antonisse,44429,Senior Engineer,1993-03-25
233030,Abdulah,Businaro,53542,Senior Staff,1993-10-27
477389,Abdulah,Claffy,99593,Senior Staff,1997-02-19
261213,Abdulah,Covnot,100122,Senior Staff,1987-07-25
243716,Abdulah,Denos,44261,Technique Leader,1993-05-15
281170,Abdulah,Dulli,48437,Technique Leader,1994-10-09
445928,Abdulah,Ermel,48690,Senior Engineer,1995-09-22
477778,Abdulah,Fadgyas,79631,Senior Staff,1997-10-25
17260,Abdulah,Famili,40000,Engineer,1995-05-18
31058,Abdulah,Frezza,41299,Senior Engineer,1988-02-15
226878,Abdulah,Furedi,86694,Staff,1997-09-09
498450,Abdulah,Gammage,54972,Senior Engineer,1996-08-29
96562,Abdulah,Ghemri,51945,Senior Staff,1994-01-08
258473,Abdulah,Hellwagner,44989,Engineer,1999-11-23
236125,Abdulah,Jumpertz,59417,Senior Engineer,1991-04-06
467242,Abdulah,Kalefeld,40000,Senior Staff,1991-10-27
276971,Abdulah,Kropp,40000,Senior Engineer,1992-12-06
436525,Abdulah,Langford,56029,Senior Engineer,1997-07-15
273429,Abdulah,Lovengreen,64049,Senior Engineer,2000-04-21
255610,Abdulah,Paciorek,68475,Senior Engineer,1996-11-20
212692,Abdulah,Pardalos,47362,Senior Engineer,1995-01-03
470681,Abdulah,Plump,49719,Senior Engineer,2001-02-05
420337,Abdulah,Ranum,58648,Senior Staff,1992-06-10
408551,Abdulah,Schiper,98178,Senior Staff,1996-03-18
36412,Abdulah,Senzako,61626,Senior Staff,1994-06-20
264932,Abdulah,Valiente,40000,Staff,1995-07-30
457801,Abdulla,Antonakopoulos,56267,Senior Staff,1994-08-01
200348,Abdulla,Back,56392,Senior Engineer,1991-05-13
250528,Abdulla,Barvinok,41455,Senior Staff,1988-09-19
263713,Abdulla,Bashian,59364,Senior Engineer,1993-06-19
78441,Abdulla,Beetstra,40000,Senior Engineer,1990-11-03
431769,Abdulla,Benaini,64519,Senior Staff,1992-12-09
498906,Abdulla,Bugrara,63392,Senior Engineer,1987-05-13
435350,Abdulla,Debuse,65081,Senior Staff,1997-07-26
16438,Abdulla,Demeyer,52449,Senior Engineer,1996-04-08
276019,Abdulla,Erev,40000,Senior Staff,1994-10-21
26283,Abdulla,Feldmann,40000,Senior Engineer,1993-12-04
203476,Abdulla,Flasterstein,40000,Senior Staff,1993-03-22
14237,Abdulla,Gerlach,57219,Senior Engineer,1994-06-13
91763,Abdulla,Gronowski,50283,Engineer,1998-11-26
286032,Abdulla,Hempstead,43757,Senior Staff,1999-04-02
292744,Abdulla,Ibel,47839,Senior Engineer,1993-02-23
263140,Abdulla,Iisaku,76277,Senior Staff,1998-01-05
452869,Abdulla,Klassen,40000,Senior Engineer,1991-07-01
418603,Abdulla,Kropf,40886,Staff,1996-05-31
260573,Abdulla,Lamparter,58846,Senior Staff,1996-05-20
448846,Abdulla,Lipner,74508,Senior Staff,1992-03-28
22557,Abdulla,Luon,82178,Senior Staff,1988-06-12
89882,Abdulla,Murrill,64346,Senior Engineer,1997-07-17
253928,Abdulla,Oberman,53683,Senior Engineer,1993-03-03
36895,Abdulla,Ozeri,60484,Engineer,1994-03-02
433131,Abdulla,Papastamatiou,40613,Senior Staff,1991-05-13
106552,Abdulla,Schaap,49915,Senior Engineer,1995-01-21
218653,Abdulla,Siochi,40000,Senior Staff,1988-09-26
221453,Abdulla,Staylopatis,40000,Senior Engineer,1987-06-10
297987,Abdulla,Taubenfeld,40000,Senior Engineer,2000-05-31
412324,Abdulla,Tokunaga,40000,Senior Staff,1991-06-20
252764,Abdulla,Vendrig,44498,Staff,1997-09-18
283568,Abdulla,Zallocco,40000,Senior Staff,1992-09-15
217523,Abdulla,Zolotykh,60944,Senior Engineer,1992-03-05
76897,Achilleas,Bamford,50411,Engineer,1999-07-27
462506,Achilleas,Bugaenko,40000,Senior Engineer,1994-09-03
245064,Achilleas,Dayana,40000,Senior Engineer,1997-09-26
107924,Achilleas,Georgakopoulos,55206,Senior Staff,1987-11-10
276089,Achilleas,Goldhammer,54001,Senior Engineer,1994-10-03
476618,Achilleas,Kawashimo,40000,Senior Staff,1994-12-16
428151,Achilleas,Knightly,40000,Staff,1998-06-05
407671,Achilleas,Lanteri,57267,Technique Leader,1990-07-20
62750,Achilleas,Lemarechal,78766,Senior Staff,1995-06-24
270492,Achilleas,Leonhardt,52428,Engineer,1999-08-24
293501,Achilleas,Litecky,42327,Senior Engineer,1995-01-07
256001,Achilleas,Luby,55732,Senior Staff,1994-03-21
477017,Achilleas,Matteis,50163,Engineer,1998-08-11
472984,Achilleas,Molberg,40000,Senior Staff,1992-02-07
462237,Achilleas,Mundy,48170,Senior Engineer,1999-05-13
269776,Achilleas,Pelc,56149,Senior Staff,2000-09-02
231706,Achilleas,Pettey,57246,Senior Staff,1994-04-03
409914,Achilleas,Ramsay,43849,Senior Engineer,1998-08-19
237480,Achilleas,Ranai,40000,Senior Engineer,1996-04-20
66668,Achilleas,Reeken,40000,Senior Staff,1996-05-30
474980,Achilleas,Rindone,42091,Senior Staff,1993-09-12
201976,Achilleas,Rosay,40000,Engineer,1996-09-07
473919,Achilleas,Scallan,40000,Senior Engineer,1994-07-04
432426,Achilleas,Szemeredi,62465,Senior Staff,2001-03-23
423454,Achilleas,Vandervoorde,40000,Senior Engineer,1999-08-18
236447,Achilleas,Vasanthakumar,59038,Senior Staff,1997-01-20
403798,Achilleas,Wissmann,40000,Senior Engineer,1994-05-28
464367,Achilleas,Zhang,40000,Technique Leader,1997-11-26
289878,Adam,Beznosov,51966,Senior Engineer,1994-10-02
233022,Adam,Bisiani,65738,Senior Engineer,1988-05-28
243743,Adam,Cyre,40000,Senior Engineer,1994-08-24
35960,Adam,Danlos,52523,Senior Staff,1995-11-16
208525,Adam,DiGiano,79946,Senior Staff,1996-06-11
97225,Adam,Erez,40000,Technique Leader,1988-05-21
415367,Adam,Esposito,49243,Senior Engineer,1992-03-25
